lat,long,elevation
-45,-105,-3467.8
-45,-100,-4182.2
-45,-95,-4327
-45,-90,-4180
-45,-85,-3769.5
-45,-80,-3592.2
-45,-75,-19.8
-45,-70,554.1
-45,-65,-89
-45,-60,-182.5
-45,-55,-5573.7
-45,-50,-5624
-45,-45,-5023.5
-45,-40,-4916.3
-45,-35,-5516.5
-45,-30,-4946
-45,-25,-4606.7
-45,-20,-4225.7
-45,-15,-2726.7
-45,-10,-4040.2
-45,-5,-3545
-45,0,-4460
-45,5,-4537.8
-45,10,-4654.2
-45,15,-4721
-45,20,-3995.8
-45,25,-5225.8
-45,30,-5373.3
-45,35,-3009.8
-45,40,-2126.3
-45,45,-1441.3
-45,50,-2504
-45,55,-4007.3
-45,60,-4706.3
-45,65,-4648.7
-45,70,-3790
-45,75,-3740.5
-45,80,-3542.7
-45,85,-3752
-45,90,-3193.3
-45,95,-2900.8
-45,100,-3595
-45,105,-3768
-45,110,-4026
-45,115,-4218.5
-45,120,-4140
-45,125,-4196.8
-45,130,-4654.5
-45,135,-4585
-45,140,-4640.5
-45,145,-3310.7
-45,150,-3843
-45,155,-4786.8
-45,160,-4903.3
-45,165,-4514.8
-45,170,638
-45,175,-1041.8
-40,-175,-4602.5
-40,-170,-4627
-40,-165,-5141.5
-40,-160,-5027
-40,-155,-4931.2
-40,-150,-5213.4
-40,-145,-5518.7
-40,-140,-5004
-40,-135,-5059.3
-40,-130,-4859.8
-40,-125,-4360.5
-40,-120,-4376
-40,-115,-3600.2
-40,-110,-3243.2
-40,-105,-4058
-40,-100,-4271.2
-40,-95,-3539.3
-40,-90,-3406.5
-40,-85,-4331.8
-40,-80,-4059.8
-40,-75,-4132
-40,-70,597.7
-40,-65,117.1
-40,-60,-51
-40,-55,-1683.5
-40,-50,-5437.3
-40,-45,-5131
-40,-40,-5218.1
-40,-35,-5089.5
-40,-30,-4335.8
-40,-25,-3948.3
-40,-20,-3633.5
-40,-15,-3166
-40,-10,-3364.2
-40,-5,-3872.5
-40,0,-4732.8
-40,5,-5325.3
-40,10,-4943.5
-40,15,-4750
-40,20,-5236.2
-40,25,-2897.7
-40,30,-4594.8
-40,35,-5004.3
-40,40,-3565.8
-40,45,-2508.8
-40,50,-3441.3
-40,55,-4530.2
-40,60,-5441.3
-40,65,-4849
-40,70,-4070.3
-40,75,-3722
-40,80,-3245.2
-40,85,-3478
-40,90,-3339.3
-40,95,-3643.5
-40,100,-4147.7
-40,105,-4493.3
-40,110,-4626.3
-40,115,-4662.5
-40,120,-4904
-40,125,-5077.3
-40,130,-5616.8
-40,135,-5495.8
-40,140,-5159
-40,145,-61.3
